Textbox16,ProblemNumber,Status,ServiceName,Category,Priority,Textbox10,CreatedDateTime,ClosedDateTime,Subject,ProblemDescription,Workaround,RootCause,RootCauseCode,Resolution,ResolutionAction
"Created Problem Records for Selected Services, Total 1865",3475,Closed,EPS,EPS - Marks,3,CIE ,03/01/2017 11:50:34,23/04/2018 13:10:36,Marks not pushing through from RM to EPS - deadlock issue,"Description of fault : marks not pushing through from RM ot EPS  Some marks for grade reviews that were submitted by examiners on 30 and 31 December on RM Assessor have not    yet appeared on EPS. A list of the candidates with syllabus and component codes is attached. Can you please    ensure the marks are pushed through to EPS and investigate the root cause of this incident?      Application / URL affected : RM to EPS    Error message :     Are colleagues affected - how many : NA    When was this last working:     What is the impact of this incident to business operations:   This is affecting candidate marks in EPS, Outdated marks are appearing in EPS",Reload the marks capture file to be picked up in the next batch job.,"•         Two batches failed due to known deadlock issue during the holiday period.
•         The files have been re-loaded in the support environment database MSUP successfully.
•         CIE have re-loaded the marks files to the Marks batch queue.
•         The Marks batch queue is currently closed until 5pm due to the November series.
see attached document for full details",Process Failure,"None business has agreed to close this with no action. see active history.
Close - this appears to have been a one-off incident
",None
"Created Problem Records for Selected Services, Total 1865",3476,Closed,EPS,EPS - Scaling and Grading,2,CIE ,03/01/2017 13:03:26,23/04/2018 13:15:25,Online grading failures not picked up once user goes offline,"A failure of a grading task submitted Online was not picked up for 1 month, after which a Sev2 call was raised.",,None,Unidentified cause,"None business has agreed to close this with no action. see active history.
Close - this appears to have been a one-off incident
",None
"Created Problem Records for Selected Services, Total 1865",3484,Closed,SAP,CRM,3,CSD ,04/01/2017 14:31:12,01/11/2017 12:01:59,Product Group Master data not updated correctly,Service in Incident: Applications    Incident Description:        Program Type Hierarchy and Master data load does not overwrite the hierarchy in BPC. It can lead to master data inconcistencies.    Category: SAP  Subcategory: CRM - Master Data,,"There are no issues with the current functionality, these are new requirements for additional functionally. Progressed under CR#461”",Requirements Issue,Progressed under CR#461”,New feature request
"Created Problem Records for Selected Services, Total 1865",3487,Closed,Communication & Collaboration,Email Server,2,Cambridge English CIE CSD OCR,06/01/2017 08:56:02,13/02/2018 15:29:51,Unable to send/receive email,Exchange 2013 users unable to send or receive email    Issues began around 08:30am.       Application / URL affected : Outlook / Exchange 2013    Error messages :   When Outlook is open: Trying to connect to server.   When loading the Outlook profile: The server is unavailable,Server restarted.,Capacity issue caused by a large number of mailboxes being moved onto the infrastructure as a result of a Severity 1 issue.,Infrastructure/Networks/OS Issue,Change# 16024 - Change has been raised to increase the CPU on Exchange servers also once this has been achieved move the Active Servers to the best infrastructure.,Request for Change
"Created Problem Records for Selected Services, Total 1865",3488,Closed,Interchange Services,Interchange,5,OCR,06/01/2017 09:05:28,01/11/2017 12:02:51,User is unable to upload the attached EDI file into CAMS GTI and getting error message,User is unable to upload the attached EDI file into CAMS GTI and getting error message :Interchange validation failed.    We have investigated and found that for the  candidate / scheme/ centre FULL entry has been created. But the entry data are not in sync  with candidate data as the CandidateId  is . As a result system is restricting  EDI file to be uploaded into CAMS GTI.    We have also found that  another Flag “EntryGuid” is also   which will create issue in future.,We have  fixed  this issue by removing the data discrepancy from back-end(modified the “CandidateID” in the entry related table for establishing the relation between Entry and candidate details.).       However code change is needed to fix the issue permanently.,"Included in PR #3691, hence this PR can be closed.",Duplicate,This PR is included in PR# 3691.In PR#3691 we have mentioned the all problems of Unit Achievement Report. Hence we can close it.,Other
"Created Problem Records for Selected Services, Total 1865",3489,Closed,CE Exam Processing,Metrica - CE,5,Cambridge English ,06/01/2017 15:22:23,25/01/2018 08:58:25,Response audio file size is very small and hence Cantab is giving error.,We got an unexpected file size error returned from Cantab for one of the Cantab-integrated speaking tests.The TIN ID is 1469141 and the message (stored in TII_LAST_ERROR) was this:     Cantab message: Job failed  ERROR: file (test) length (0.975250) is either 0 or greater than 66s    We have identified a total of 4 files which have this similar issue in the last 3 months(out of total 628 tests) comprising of these 3 item types:  a. ENGS item type  b. CEPTS item type  c.  S item type,NA,Not identified. Single incident raised on 15/12/2016,Unidentified cause,"Cantab Automarker no longer used, therefore closing PR",Will Not Fix
"Created Problem Records for Selected Services, Total 1865",3492,Closed,Communication & Collaboration,Lync Client,5,Cambridge English CIE CSD OCR,10/01/2017 09:16:46,13/02/2018 15:46:04,Intermittent Lync Connection issues on Mobile Devices.,"Intermittent Lync Connection issues on Mobile Devices.    There is currently an intermittent issue were users of mobile devices are unable to connect into Meetings. Sometimes this will work and other times it will fail to connect or work at all.     So far no solution has been found, and as such a problem record is being raised to try and capture the volume of calls.",,Users with incompatible SIP addresses and connection speeds back to CA.,Software Issue,No longer a problem. Numerous changes have been carried out to improve services on our SfB platform. Upgrading from Lync 2013 to Skype for Business 2015 has resolved the issue. RFC 17004 for the upgrade from lync to SfB,Request for Change
"Created Problem Records for Selected Services, Total 1865",3493,Closed,Database,MSSQL,3,Cambridge English CIE CSD OCR,10/01/2017 10:09:00,25/01/2018 14:01:30,SPVARSQ001 - DRS causing communication problems on VM hosts,"We have had 3 known incidents in the last week of SQL Availability Groups having communication issues (2 have led to the AG failing over) and for 1 incident we suspect it caused a VM to blue screen. On each occasion the times have coincided with SPVARSQ001 being migrated to the host where 1 of the AG nodes resides.  There were performance issues with SPVARSQ001 prior to Christmas, which resulted in it being assigned additional CPU and RAM resource.","DRS for spvarsq001 set to ""partially automated"" stopping it from vMotioning.","There have been performance issues with the SQL Database and this is due to disk allocation sizes on all drives are 4K, when they should be 64K for SQL drives.  This change is to move the DB onto better performing drives.",Infrastructure/Networks/OS Issue,The drives have been moved to 64bit disk allocation and this is now working correctly the work was completed under RFC18637,Request for Change
"Created Problem Records for Selected Services, Total 1865",3495,Closed,CE Exam Processing,Metrica - CE,3,Cambridge English ,10/01/2017 15:21:36,23/01/2018 11:41:56,Language field value of CIS fields not saving for custom forms in the database incident #435974,"For custom forms,CIS field value of ""Language"" is not saving in database.The value is supposed to be saved in ""custom_attributes"" table in metrica database.Investigation details are as follows:-    1. Page name:- genericstart.cshtml       Code area has been provided in attachment with file name 3495_1.txt. The ""Model.CISFields"" is retreieving a value named          "" *Language"". This values are retrived from the page TestScreen.cs from property  ""public class CISFieldDetails"".       The name of the dropdown is expecting a value like ""Context.StartControlValues.DdlLanguage"".Hence unable to save the     value.This requires further investigation and impact analysis.",,Code changes identified and provided to Metrica team further action under MET-6920,Software Issue,"Code fix applied as part of v17.4 on 05/09/2017, RFC 17799",Request for Change
"Created Problem Records for Selected Services, Total 1865",3497,Closed,SAP,Portal - CECP,1,Cambridge English ,10/01/2017 15:48:28,14/05/2018 16:03:56,SAP results issue - CECP,"• There are two exam sessions (NOV BEC P and NOV CPE 1 both dated 26th November) that are now on the final day of the results window. It is therefore imperative that the results are available to centres by close of business today otherwise we will be in breach with OFQUAL  • The 02:00 SAP Batch job that pushes Statement of Results to the CECP portal has been deliberately disabled for the past 5 days at the request of CE (due to additional issue with getting the results from HANA into ECC)  • As a result when the batch job ran at 02:00 this morning it has had to process circa 13K candidates. The understanding was that the job would take approximately 12 hours but due to the size of the data the job is still running  • 10K out of the 13K have progressed and the decision has been taken to manually push these 10K to the Business Warehouse stage. Once they are at the BW stage the results will then be available to the centres via the CECP portal  • In addition the technical team are working to identify if there is a way to ‘speed up’ the remaining 3K candidate results

#WaterLine YES
#Super Results
#ETD OCT MTR


","Daily monitoring of the data is done by looking at the tables 9003, 9004,9012, 1720 & 1728.   Also checking the results to PRD job runs successfully on a daily basis.",There is no issue with the program  and it's running as per the design. Problem is with the time taken by the program. It's taking a day to compete  as a background job. Performance optimization is required to make the job run faster.,Infrastructure/Networks/OS Issue,"Code optimization is to be done to improve the performance. Part of the October MTR 

Changes has been deployed through RFC19376 Feb MTR ",Request for Change
