,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,application_type,pub_rec_bankruptcies,emp_length_range
1,1077430,1314167,2500,2500,2500, 60 months,15.27%,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,12/1/2011,Charged Off,n,  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>,car,bike,309xx,GA,1,0,Apr-99,5,,,3,0,1687,9.40%,4,f,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,13-Apr,119.66,13-Sep,INDIVIDUAL,0,0 years
4,1075358,1311748,3000,3000,3000, 60 months,12.69%,67.79,B,B5,University Medical Group,1 year,RENT,80000,Source Verified,12/1/2011,Current,n,"  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>",other,Personal,972xx,OR,17.94,0,Jan-96,0,38,,15,0,27783,53.90%,38,f,524.06,524.06,3513.33,3513.33,2475.94,1037.39,0,0,0,16-May,67.79,16-May,INDIVIDUAL,0,0-10 years
8,1071795,1306957,5600,5600,5600, 60 months,21.28%,152.39,F,F2,,4 years,OWN,40000,Source Verified,12/1/2011,Charged Off,n,  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,4-Apr,2,,,11,0,5210,32.60%,13,f,0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,12-Apr,152.39,12-Aug,INDIVIDUAL,0,0-10 years
9,1071570,1306721,5375,5375,5350, 60 months,12.69%,121.45,B,B5,Starbucks,< 1 year,RENT,15000,Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>",other,Building my credit history.,774xx,TX,18.08,0,4-Sep,0,,,2,0,9279,36.50%,3,f,0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,12-Nov,121.45,13-Mar,INDIVIDUAL,0,0 years
12,1064687,1298717,9000,9000,9000, 36 months,13.49%,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,12/1/2011,Charged Off,n,  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>,debt_consolidation,freedom,245xx,VA,10.08,0,4-Apr,1,,,4,0,10452,91.70%,9,f,0,0,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,12-Jul,305.38,12-Nov,INDIVIDUAL,0,0 years
14,1069057,1303503,10000,10000,10000, 36 months,10.65%,325.74,B,B2,SFMTA,3 years,RENT,100000,Source Verified,12/1/2011,Charged Off,n,,other,Other Loan,951xx,CA,7.06,0,May-91,2,,,14,0,11997,55.50%,29,f,0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,13-Oct,325.74,14-Mar,INDIVIDUAL,0,0-10 years
21,1039153,1269083,21000,21000,21000, 36 months,12.42%,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000,Verified,12/1/2011,Charged Off,n,  Borrower added on 12/16/11 > Decided to clean up the debt and get my finances together.  Thank you for your consideration.<br>,debt_consolidation,Debt Cleanup,335xx,FL,13.22,0,Feb-83,0,,,7,0,32135,90.30%,38,f,0,0,14025.4,14025.4,10694.96,3330.44,0,0,0,13-Sep,701.73,16-May,INDIVIDUAL,0,10+ years
24,1069559,1304634,6000,6000,6000, 36 months,11.71%,198.46,B,B3,bmg-educational,1 year,RENT,76000,Not Verified,12/1/2011,Charged Off,n,,major_purchase,cash,900xx,CA,2.4,0,1-Jun,1,,,7,0,5963,29.70%,7,f,0,0,2050.14,2050.14,1305.58,475.25,0,269.31,2.57,12-Oct,198.46,13-Mar,INDIVIDUAL,0,0-10 years
26,1069800,1304679,15000,15000,8725, 36 months,14.27%,514.64,C,C2,nyc transit,9 years,RENT,60000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/15/11 > looking to consolidate into just one monthly payment<br>,debt_consolidation,consolidation,103xx,NY,15.22,0,3-Oct,1,,,7,0,5872,57.60%,11,f,0,0,0,0,0,0,0,0,0,,0,16-May,INDIVIDUAL,0,0-10 years
27,1069657,1304764,5000,5000,5000, 60 months,16.77%,123.65,D,D2,Frito Lay,2 years,RENT,50004,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/16/11 > I have a stable job where I will never get laid off.<br><br> Borrower added on 12/16/11 > I need the loan to pay for some recent medical expenses and I need to get my car fixed.<br>,other,Other,150xx,PA,13.97,3,3-Oct,0,20,,14,0,4345,59.50%,22,f,0,0,1609.12,1609.12,629.05,719.11,0,260.96,2.3,12-Dec,123.65,13-May,INDIVIDUAL,0,0-10 years
